,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,LBW,VLBW,Premature,Under_18_deaths,Over_40_deaths,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury,Total_Births,Total_Deaths,MOBD_Time_Span,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Exp,Toxic_Chem,Diabetes,Smoker,Obesity
1438,28,79,Leake,Mississippi,MS,38,22453,39,19.9,29.5,56.8,12,1.7,55.8,38.9,4.6,0.3,2.9,72.7,1077.6,25.7,5.4,11.3,1.6,18,7.6,1.1,46,18.9,13.2,16.9,10.4,7.6,5.6,28.8,22,206.2,11.1,57.5,52.4,65.3,11.4,26.3,3343,2436,1994-2003,4269,3012,937,22.3,17.8,5023,657,661,1257,1033,0,3,0,26,3,37,27,17,2041147,12,20.1,29
1439,28,81,Lee,Mississippi,MS,32,78793,175,14.1,27.4,60.6,10.7,1.3,72.7,25.8,0.2,0.6,1.3,74.4,1023.1,22.4,6.5,9,1.7,18.4,6.9,1.2,37.6,9.1,9.9,7.2,15.6,5.3,4.6,26.3,19.7,135.8,6.8,69.5,31,85.3,12.2,35.5,6087,3668,1999-2003,10268,9466,2992,110.4,45.7,12968,2592,2319,4524,3484,1,3,15,158,4,54,72,27,177686,9.8,19.7,25.5
1440,28,83,Leflore,Mississippi,MS,40,36431,62,29.4,30.1,58.3,9.9,1.6,28.5,70.6,0.1,0.6,2.2,72.5,1154.8,23.2,7,11.9,3.4,17,9.7,1.3,71.5,37.6,15.5,5.1,18.1,9.9,5.6,24.5,32.8,326.7,20,66.2,24.6,90.1,10.5,21.5,3027,2077,1999-2003,8848,4185,1328,54.9,30.2,8123,1499,1135,2023,1808,1,4,0,48,4,35,27,17,734339,11.9,25.5,30.7
1441,28,85,Lincoln,Mississippi,MS,40,33906,58,17.7,25.7,60.5,12.3,1.5,69.1,30.2,0.2,0.4,0.7,72.9,1147.6,20.9,6.3,9.6,2.1,14.3,5.8,0.7,33,22.2,7,3.3,14.2,4.8,2.2,40.7,29.4,210.8,7.4,76.7,41.6,84.5,12,20.6,2295,2030,1999-2003,5200,4144,1275,44.2,20.6,6306,1153,1263,1990,1529,3,4,0,57,4,32,6,15,1363,8.4,27.8,27.1
1442,28,87,Lowndes,Mississippi,MS,54,59895,119,19.2,28.2,59.8,10.4,1.6,55.3,42.9,0.2,0.7,1.1,74.8,910.4,23.4,6,10.6,2.3,17,7.1,1.1,45.1,17.8,11.4,5.8,16.6,8.2,3.2,15.5,25.8,93.8,6.3,59.9,19.1,59.6,11.8,20.6,4641,2592,1999-2003,9560,6853,1871,65.1,45.1,9190,2160,1720,3404,2775,0,3,0,77,4,61,11,31,2631448,10.6,23,24.3
1443,28,89,Madison,Mississippi,MS,37,84286,118,13.2,27.8,62.1,9.1,0.9,59.8,38,0.1,1.6,1.3,73.7,1301.5,13.8,4.7,10.9,2.2,18.2,4.4,2,37.1,12.4,9.7,4.2,15.8,6.2,3.4,53,45.7,188.3,12.2,116.5,21.4,95.5,8.6,15.9,6088,4225,1999-2003,9758,7284,1774,155.4,32,9078,2301,2170,4815,3883,4,3,4,228,4,65,115,31,879408,5.5,16.8,25.8
1444,28,91,Marion,Mississippi,MS,40,25235,47,21.7,27.2,58.8,12.4,1.7,66.7,32.4,0.2,0.3,0.7,72.2,1206.1,26.3,9,10,1.9,15.4,6.5,0.6,41.7,10.5,4.8,3.6,6.8,2.7,2.2,17.7,19.8,170.7,14.4,85.3,39.5,103.2,9.1,32.5,1860,1659,1999-2003,4790,3725,1163,59.4,23.8,5413,938,1005,1454,1168,1,4,0,40,4,24,1,11,33229,10.4,34.9,31
1445,28,93,Marshall,Mississippi,MS,40,35659,50,19.1,26.6,61.9,10.4,1,49.6,49.6,0.2,0.1,1.5,72.2,1149.5,24.2,6.8,12.5,2.5,16.2,7.2,1.7,55.8,22.2,14.6,14.9,14.7,10,4.6,25.6,32.5,228.6,11.3,70,54.2,95.9,7,31.3,2601,1780,1999-2003,5981,3906,1277,8.4,11.2,8960,1401,1286,2072,1671,0,3,0,62,4,33,8,16,94398,14.3,31.2,38.6
1446,28,95,Monroe,Mississippi,MS,41,37704,49,16.3,25.4,59.7,12.9,2,68.4,31,0.1,0.2,0.9,74.4,938.9,25.8,7.3,11,2.5,17.2,6.4,1,41.1,14,10.9,8.3,15.5,6.8,4,33.9,18.7,123,7.8,64.7,41.1,60.9,8.5,24.6,2483,1977,1999-2003,5625,4879,1452,53,23.9,8615,1505,1096,2221,1726,0,3,2,97,4,32,11,13,10552750,9.9,25.4,28.5
1447,28,97,Montgomery,Mississippi,MS,38,11829,29,20.8,25.8,57.1,14.5,2.6,53.7,45.8,0.1,0.3,0.9,72.9,1004.5,31.8,6.5,11.5,3,16.7,9.8,1.2,53.6,18.9,18.5,11.1,24.4,14.6,4,20.8,17.4,218.8,12.7,61,44.5,81.9,17.4,21.8,1678,1483,1994-2003,2163,2031,523,76.1,16.9,2966,423,445,694,535,1,4,0,20,3,22,1,10,1,11.9,25.3,31.3
1449,28,101,Newton,Mississippi,MS,32,22366,39,16.9,27.6,57.1,13.3,2,65.2,30.1,4.3,0.2,1.2,73.9,1026.2,26.1,8,9.4,2.1,14.4,5.5,0.8,40.1,17,13.1,9.4,15.8,9.1,4,27.1,22,212,13.1,72.8,38.6,67.1,15,23.1,3281,2503,1994-2003,3365,3743,1030,26.8,26.8,3866,644,788,1283,1032,0,3,0,50,4,32,41,9,75996,12,20.3,28.3
1451,28,105,Oktibbeha,Mississippi,MS,27,41247,90,21.4,23.1,67.3,8.5,1,60.2,36.2,0.2,2.8,1.1,76,936.2,14.9,5.8,9.1,2.2,14.3,5.5,1.4,39.9,20,8.4,4,13.4,6.6,1.8,22,13.6,116.1,8,56.9,18.6,68.7,7.7,31.7,2728,1403,1999-2003,7225,3834,1061,60.6,24.2,4226,1331,1696,2520,2851,1,3,0,50,4,46,7,17,45224,6,20,21.9
1452,28,107,Panola,Mississippi,MS,40,35331,52,20.9,28.5,59.6,10.4,1.5,51.4,48,0.1,0.2,1.4,71.9,1062.1,26.4,6.4,10.2,2.2,16.8,9.8,0.7,58.1,21.6,9.5,3.6,13.4,6.7,2.8,36.8,26.5,205.2,7.9,67.2,45.3,89.4,10.8,29.1,2856,1750,1999-2003,6920,4143,1488,34,28.3,8036,1387,1193,2002,1657,0,3,0,40,4,33,10,16,249037,11.1,25.7,26.8
1453,28,109,Pearl River,Mississippi,MS,40,52659,65,18.1,26,61.1,11.8,1.1,85.8,12.3,0.5,0.4,1.6,74.4,1010,23.1,7.9,7.7,1.3,11.9,6,1.2,35.4,14.2,6.3,4.7,15.1,3.6,2.7,26.1,21.3,201.2,6.1,74.3,31.2,56.5,9.7,30.7,3347,2365,1999-2003,9107,6085,1917,32.3,11.4,8783,1997,2094,3082,2417,2,4,0,31,3,47,17,22,9481,9.1,31,28.1
1455,28,113,Pike,Mississippi,MS,27,39426,96,22.8,28.3,57.4,12.7,1.7,49.6,49.4,0.2,0.5,0.7,73.2,1047.3,30.2,8.4,11,2.4,16.3,6.8,1.2,53.2,25.6,7.5,2.4,10.9,4.1,3.4,34.9,21.7,291.1,12.7,56.2,34.3,58.3,12.2,21.6,3209,2219,1999-2003,7769,5559,1712,58.3,30.4,7481,1461,1518,2237,1756,2,4,0,121,4,43,6,16,600925,13.8,29.1,33.5
1456,28,115,Pontotoc,Mississippi,MS,51,28208,57,13.2,26.1,61.3,11.1,1.6,84.7,14.6,0.3,0.1,2.8,75.6,930.5,25.2,7.7,8.2,1.7,15.9,6.5,1.2,26.3,13.6,6.4,3.3,21.8,2.7,3.6,27.2,16.2,191.5,6.1,71.4,33.3,58.4,12.9,33,3634,2460,1994-2003,3880,3119,1007,21.3,14.2,6142,849,1028,1648,1297,0,3,3,63,4,36,18,16,17487,11.1,24.6,29.4
1459,28,121,Rankin,Mississippi,MS,57,131841,170,10.4,25.1,64.7,9.3,0.9,79.8,18.6,0.2,0.9,1.7,76.1,870.9,18,6.2,9.4,1.7,16.5,3.6,1.3,27.1,8.1,8.6,6.4,19.6,5.6,3,27.9,16.1,257.3,5.5,48.4,22.1,42.2,11.9,23.6,5320,2482,2001-2003,13533,11487,3147,101.6,36.4,15835,3320,3200,7795,6080,2,3,7,226,4,48,68,15,124752,6.8,24.2,26.9
1460,28,123,Scott,Mississippi,MS,33,28739,47,16,28.1,59.3,10.9,1.7,59.9,38.7,0.5,0.3,6.7,72.7,995.2,28.3,7.7,11.9,2,19.1,7.8,0.9,52.9,17.4,15.1,11.9,20.7,6.7,8.4,26.5,9.2,279.9,16,65.6,47.6,51.5,10.7,27.7,2250,1411,1999-2003,6251,3620,1074,17.4,31.3,6959,821,932,1636,1302,0,3,0,24,3,28,2,16,2999522,12.2,26.2,31.6
1462,28,127,Simpson,Mississippi,MS,33,27944,47,19.7,27.4,59.8,11.2,1.6,64.6,34.7,0.1,0.2,1.5,72.1,1096.8,27.9,8,11.9,1.7,18.2,7.2,0.9,42.8,12.9,13.2,10.7,16.8,7.6,5.6,21.4,13.4,231.1,10.4,74.4,54,81.2,18.6,34.4,1974,1544,1999-2003,5107,3258,1146,39.4,32.2,5644,801,1002,1606,1267,0,3,0,34,4,28,6,15,0,11.1,24.7,27.6
1463,28,129,Smith,Mississippi,MS,31,16058,25,16.4,26.3,59.7,12.5,1.5,76.4,23.2,0.1,0.2,0.8,73.9,998.1,33.9,8.5,11.4,1.8,15.8,7.5,0.9,34.4,12.3,9.7,7.9,13.6,7.5,2.1,17.6,15.5,249,6.8,72.6,46.5,59.2,11.3,17.9,2069,1663,1994-2003,2827,1763,622,24.9,6.2,3081,459,663,936,730,0,3,0,19,3,25,5,9,337397,9.6,28.4,20.6
1464,28,131,Stone,Mississippi,MS,34,14862,33,17.3,27.2,61.2,10.6,1,79.1,20,0.3,0.2,1.5,72.7,1269.7,27.4,6.6,8.6,2,13,7.3,0.9,36.9,16.2,10.3,10.2,11.8,6.9,3.4,34.9,25.5,341.8,11.3,74.3,42.1,54.3,16.2,30.3,1940,1442,1994-2003,2342,1826,618,47.1,13.5,2389,532,564,860,713,1,4,0,28,4,23,12,8,3685,5.9,30.9,29
1467,28,137,Tate,Mississippi,MS,53,26548,66,15,27.9,60.4,10.4,1.4,68.8,30.5,0.2,0.2,1.3,73.4,1047,23.7,7.1,9.3,1.5,14.7,7.2,1.3,42.5,19.6,11.9,8.3,17.7,7.4,4.4,33.2,24.3,237.2,9.5,66.3,48.9,68.5,11.4,27.4,3701,2383,1994-2003,3524,2926,877,33.9,18.8,4684,830,864,1522,1284,1,3,2,45,4,39,8,20,69056,8.6,37.1,27.6
1468,28,139,Tippah,Mississippi,MS,30,21212,46,15.7,25,60.7,12.6,1.7,82,17,0.3,0.1,3.2,73.6,1093.5,29.5,8.1,11.1,1.7,19.7,7.5,0.8,31.1,13.9,11.4,10.2,17.3,6.7,4.6,25.3,24.9,332.5,7,61.4,42.7,80.5,8.6,28.4,3104,2580,1994-2003,2917,3193,1393,28.3,18.9,4841,711,1136,1256,977,1,3,2,63,4,27,9,8,11508,10.2,23.1,32.7
1471,28,145,Union,Mississippi,MS,48,26784,64,12.8,25.8,60.7,11.8,1.7,83.8,15.1,0.2,0.3,2.5,75.8,945.9,21.6,5.7,11.1,1.4,19.1,7.1,1,30.3,12,8.6,9,7.8,4.6,4,19.6,17.2,185.6,4.1,58.9,29.6,92.9,11.2,19.2,3596,2567,1994-2003,3529,3369,1060,74.7,18.7,5647,810,898,1569,1185,0,3,2,57,4,32,13,5,111855,6.1,30.8,24.9
1473,28,149,Warren,Mississippi,MS,41,49131,84,17.6,28.4,59.9,10.3,1.4,52.5,46,0.2,0.7,1.2,73.2,1115.4,21.4,6.6,11.4,2.7,16.4,6,1.6,56.5,17.6,8.6,5.4,11,4.3,4.3,35.7,23.1,248.1,13,66.9,26,82.9,15.2,27.9,3940,2628,1999-2003,8371,5568,1405,75.3,40.7,7183,1772,1282,2781,2192,1,3,2,85,4,42,25,17,2806234,12.3,24.3,33.5
1474,28,151,Washington,Mississippi,MS,54,59220,82,28.4,31,57.6,10,1.4,31.7,67.2,0.1,0.7,1.1,71.1,1149.7,25.2,7.2,12,2.5,18.6,9.3,0.7,69.9,28.7,11.7,7.5,13.2,7.2,4.5,35.1,26.5,295.5,26.5,75.6,32.4,65.1,7.3,30.7,5295,3331,1999-2003,14183,6890,2280,54,37.1,11855,2908,3013,3240,2727,4,4,0,40,3,62,15,31,14030,10.2,24.6,35.7
1475,28,153,Wayne,Mississippi,MS,31,21291,26,20.6,27.6,59.9,11.2,1.3,61.4,38.2,0.1,0.2,0.7,74.7,1068.8,30.7,8.1,9.5,2.1,15.2,9.3,1,45.6,18,10.9,8.2,13.8,6.1,4.8,31.7,20,210.8,11.3,59.9,38.1,66.4,6,29.3,3246,2051,1994-2003,3736,2091,842,28.2,14.1,4821,716,830,1220,970,0,3,0,19,3,33,10,12,67849,9.3,23.2,22.9
1478,28,159,Winston,Mississippi,MS,38,19870,33,20,25.7,58.5,13.8,2,54.7,44.2,0.8,0.1,1.6,75.3,956.5,25.7,7.1,9.8,2.1,14.8,9.9,0.9,48.8,27,9.7,2.9,15.8,7.2,2.5,30.2,19.4,146.7,12.1,64.8,36.4,73.3,14,32,2609,2235,1994-2003,3244,2797,682,25.2,20.1,4191,655,722,1168,900,0,3,0,37,4,36,8,16,235363,9.5,20.3,38.9
1479,28,161,Yalobusha,Mississippi,MS,38,13417,29,19,25.6,59,13.5,1.9,60.2,39.2,0.2,0.2,1,74,1041.7,24.2,5.8,9.5,1.4,13.7,8.7,1.1,49.6,19.1,6.8,6,7.6,4.3,2.5,27.6,24.2,209.3,12.2,76.8,50.2,67.5,14,42.3,1802,1561,1994-2003,2234,2325,839,14.9,29.8,2775,494,801,788,598,0,3,0,35,4,23,7,10,15281,10,25.5,24.5
1480,28,163,Yazoo,Mississippi,MS,33,28195,31,27,27.5,60.7,10.2,1.6,44.2,54.9,0.2,0.4,5.2,72.3,1108.1,25.4,6.4,13.1,2.7,20.4,10.2,1.6,65.9,18.4,12.8,5.7,16.4,8.2,4.6,39.1,15.2,213.7,18.4,71,36.7,83.8,12.7,27.7,2195,1535,1999-2003,6373,3297,891,21.3,21.3,6329,1081,1055,1616,1289,0,3,0,35,4,28,4,15,1867746,9.7,21.7,33.6
1490,29,19,Boone,Missouri,MO,40,143326,209,11.7,24.9,66.1,7.7,1.2,85.9,8.6,0.4,3.2,2.1,78,823.3,12.1,5.6,8.1,1.4,12,2.3,2.1,29.7,11.2,6.7,6.4,8.2,4.6,2,34.9,15.3,139.2,2.4,51.8,16.1,63,12.3,27.8,5399,2603,2001-2003,13943,12238,2877,191.9,47.4,9117,3013,2161,9472,8358,8,4,4,51,4,54,36,17,663780,3.7,25.4,19.8
1504,29,47,Clay,Missouri,MO,44,202078,510,6.6,25.9,63.4,9.5,1.2,91.9,4,0.5,1.9,4.3,77.1,863.8,12.1,5.8,6.8,1.3,11.3,2.4,1.5,26,9.2,5.7,5.3,15.4,3.1,2.5,26.8,17.6,146.5,4.4,58.6,13.8,54.6,12.9,24.8,8658,4285,2001-2003,17359,21091,3146,58.4,51.5,15131,5039,4261,13108,9395,5,3,11,38,3,69,13,23,1500552,4.9,25.1,24.2
1506,29,51,Cole,Missouri,MO,32,72757,186,9,24.3,64.2,9.8,1.7,87.3,10.2,0.4,1.1,1.7,76.5,884.3,12,4.5,6.5,1,11.2,2.7,1.7,28.2,14.8,6.7,5.6,14.7,4.3,2.4,39,22,161.1,3.5,53,23.8,54.2,11.1,19.7,4628,3006,1999-2003,4859,8275,1537,61.8,44,7174,1673,1389,4825,3484,7,3,11,80,4,54,7,14,18321,5.9,22.5,20.9
1519,29,77,Greene,Missouri,MO,40,250784,372,12.5,23.2,63,11.8,2.1,93.9,2.5,0.7,1.3,2.2,76.7,901.6,15.9,7,6.8,1.2,12.3,3.5,1.4,32.2,10.5,7.3,6.8,28.4,4.7,2.6,28,18.5,156,2.9,64.6,17.4,67.3,14.1,26.1,9313,7238,2001-2003,27078,32241,6509,106.1,56.2,25029,5761,6817,16870,12943,4,3,7,69,3,95,3,29,701700,7,26.2,22.3
1528,29,95,Jackson,Missouri,MO,39,662959,1096,12.3,26.4,61.4,10.5,1.7,72.6,23.4,0.5,1.5,6.6,75.2,911.6,16,6.2,8.1,1.6,12.3,4.4,1.8,44.8,12.2,7.5,5.3,13,5.3,2.2,27.8,17.7,168.1,14.6,60.3,15.8,57.7,13.3,26.7,30546,18206,2001-2003,84511,79402,16138,83.4,61.4,72781,21862,12894,42752,30443,21,3,20,289,4,277,42,277,1679567,7.8,25.8,24.6
1552,29,143,New Madrid,Missouri,MO,34,18566,27,18.7,25.1,59,13.7,2.2,84.4,14.7,0.1,0.2,0.8,72.7,1119.6,25.2,8.9,9.4,1.6,15.3,9.3,0.8,47.9,20.9,9.1,5.8,17.6,6.1,3,25.9,20.3,332.3,10.9,76.8,33.1,65,16.7,36.2,2629,2556,1994-2003,3129,2653,789,10.8,16.2,4583,615,632,1217,852,1,3,0,38,4,34,28,12,1983674,12.7,29.5,23
1558,29,155,Pemiscot,Missouri,MO,38,19412,39,23.1,30.3,55.7,11.9,2,73.7,25.3,0.2,0.4,1.8,70.9,1185.3,29.5,8,11.7,2,17.6,11.6,0.6,61,26.1,12.3,9.8,14.5,8.6,3.7,22.5,22.6,409.8,12.5,86.7,42,82.9,14,23.7,3651,2734,1994-2003,4265,2749,972,67,10.3,5024,632,694,1188,899,1,3,0,65,4,37,23,16,309635,12.9,28.8,30.1
1576,29,189,St. Louis,Missouri,MO,34,1004666,1978,8.6,24.7,61.2,12.2,1.9,74.3,21.3,0.2,2.9,1.7,77.4,847.8,12.1,5,8.6,1.7,13.9,2.6,3.1,31.3,7.9,8.4,5.1,16.8,6.2,2.2,28.2,21.3,216,6.7,55,10.1,57.5,10.5,19.5,36724,29021,2001-2003,81592,141129,18246,157.7,73.6,81339,28449,22672,66298,47188,39,3,30,510,4,274,280,152,1748175,5.3,19.6,20.6
1580,29,201,Scott,Missouri,MO,41,41143,98,14.6,26.8,59.4,11.8,2,87.2,11.6,0.2,0.3,1.3,74.9,958,21.9,8.4,10.2,2,16.3,5.6,0.7,41.6,13.7,12.6,9,30,8.7,3.8,32.7,23.2,199.9,8.5,80,23.8,74.1,9.6,25.4,2865,2102,1999-2003,5611,5794,1637,68.1,36.5,7338,1180,1184,2641,1911,2,4,2,38,4,34,36,14,104812,6.8,29.6,27.8
1595,29,510,St. Louis City,Missouri,MO,25,344362,5561,21.3,26.6,61.2,10,2.2,45.6,50.7,0.3,2.1,2.4,70.8,1114.9,18.8,6.6,11.7,2.5,19.2,7,1.7,65,16.6,12.8,5.6,17.3,8.6,4.2,28.2,24.8,264.9,26.8,71.9,16.7,68.4,13.1,35.6,15755,12366,2001-2003,63623,40285,11644,171.3,31.9,64058,13095,11338,22161,16375,10,4,10,184,4,178,185,136,3511779,10.2,27,29.7
1679,31,55,Douglas,Nebraska,NE,36,486929,1471,10.8,27.1,62.2,9.2,1.5,83.8,11.7,0.6,2.2,8.6,76.8,858.9,11.8,5,7.7,1.4,12.7,3.5,2.1,32.9,17.7,7.4,5.5,15.7,5.3,2.1,27,22,123.1,6.3,62.6,11.4,56.9,10.9,19,23667,10979,2001-2003,49726,51455,8987,154,66.1,39525,12041,8544,28631,18492,27,4,14,116,3,170,226,85,993232,6.1,22.8,22.2
1706,31,109,Lancaster,Nebraska,NE,44,264814,316,9.5,24.9,64.7,8.9,1.6,91.6,3,0.7,3.2,4.1,79,759.1,9.5,4.6,7.1,1.3,12.1,2.6,2.3,25.9,15.2,6.4,6.2,16.8,4.2,2.2,24.5,19.1,113.5,1.7,49.2,13.1,49.1,11.8,21.4,11573,5142,2001-2003,23280,26306,4077,84.6,72.5,15837,5486,3982,16060,11053,7,3,15,93,3,92,59,31,1535899,5.4,20.6,21.3
1746,32,3,Clark,Nevada,NV,34,1710551,216,11.4,27.3,62,9.7,1,78.9,10.1,1,7.3,25.6,75.7,924.7,16.7,6.5,7.7,1.2,13.6,3.9,2.2,39.6,26,6.2,5.8,13.2,3.6,2.5,26.4,21.9,153.1,10.1,62.6,15.1,56.7,18.6,24.5,71518,34516,2001-2003,233547,156919,25387,65.1,20.8,227718,34433,76360,123975,103386,40,3,45,443,3,409,141,227,4108473,7,25.7,21.6
1772,34,1,Atlantic,New Jersey,NJ,27,271015,483,10.8,26.1,60.4,11.6,1.9,74,17.9,0.3,6.4,13.7,75.5,981.1,16.7,6.2,8.5,1.9,13,3.8,2.6,42.5,30.7,9.6,5.8,21.5,6.7,3,31.5,24.5,228.4,5.4,65.1,17.3,52.8,8.5,26.9,10477,8217,2001-2003,34462,33917,5591,73.1,42.8,39226,7132,5681,13902,13480,6,3,8,113,4,117,11,23,163406,9.3,24.5,25.8
1773,34,3,Bergen,New Jersey,NJ,32,902561,3854,6.1,24.2,61,12.5,2.3,79.2,5.9,0.2,13.6,13.1,79.9,691.3,11.7,5.3,7.3,1.1,11,0.6,5.4,13,12.8,4.4,3.6,9.9,3.2,1.2,27.8,20.3,162.5,1.6,42.3,6,39.4,6.2,14.3,31845,22741,2001-2003,85582,128345,11133,154.8,106.7,83761,17216,12515,47363,42982,26,3,27,330,3,349,47,107,360047,5.6,16.6,16.2
1774,34,5,Burlington,New Jersey,NJ,36,450743,560,5.8,25.2,62,11.3,1.6,77.6,16.6,0.2,3.7,4.8,77.6,861.4,11.9,5.7,7.6,1.5,11.9,2,3.5,23.1,19,5.4,4.8,7.2,4.3,1.1,26.4,22.9,191.5,3.2,56,13.3,48,7.9,19.5,16166,11194,2001-2003,36226,53956,7184,81.4,51,38765,9015,11577,23382,22476,4,3,13,119,3,157,166,79,1441216,7.1,21.1,21.8
1775,34,7,Camden,New Jersey,NJ,39,518249,2331,10.9,27.3,60.6,10.4,1.7,73.4,20.3,0.3,4.6,11.1,75.8,921.3,17.3,6.3,9.1,2,13.1,4.1,2.8,41.1,26.8,9.9,6.3,17.7,7.4,2.5,30,24.2,197.1,8.3,63.2,9.8,51,9.9,24.8,20851,14310,2001-2003,68258,62211,10632,98,57.9,65974,12577,14440,26197,26279,5,3,15,138,3,215,113,215,70294,7,23.3,24.1
1777,34,11,Cumberland,New Jersey,NJ,53,153252,313,14.9,26.2,61.3,10.7,1.8,74.3,21.7,1,1.4,21.7,74.7,992.8,19,6.7,9.2,1.9,13.4,6.6,1.2,58,29.1,11.3,10,14.6,8.3,3,26.2,22.1,223.6,6.3,63.2,18.1,51.8,6.1,26.4,6364,4589,2001-2003,22848,18366,4283,55.5,39.8,31797,4385,4103,7845,7760,4,4,4,44,3,71,6,44,491864,12.7,26.6,24.5
1778,34,13,Essex,New Jersey,NJ,39,791057,6265,14.4,28.1,60.4,9.8,1.8,51.4,42.6,0.3,4.4,17.2,74.7,899.8,17.7,5.2,10.4,2.5,14.1,3.5,3.8,47.6,31.6,8.6,3.1,13.6,5,3.6,31.2,21.4,192.8,14.6,49.8,9.3,45.1,5.5,25.8,36577,21091,2001-2003,119907,84961,15622,138.3,70.9,123336,20443,10344,39494,39507,12,3,24,340,3,334,144,334,168471,7.8,17.8,25.2
1779,34,15,Gloucester,New Jersey,NJ,57,276910,853,6.7,26,62.5,10.1,1.4,86.9,9.9,0.2,2,3.1,76.7,962.7,13.6,6.5,7.8,1.4,12.3,1.7,2.9,26.6,19.4,6.5,5.4,15.1,4.7,1.8,32.1,27.6,200.4,2.4,70.1,10.4,51.2,9,24.5,9605,7044,2001-2003,27862,28435,4953,47.3,32.1,28303,6338,5718,14245,14514,3,3,16,59,3,103,23,32,1413547,8.1,22.8,22.4
1780,34,17,Hudson,New Jersey,NJ,39,603521,12926,15,24.6,64.4,9.4,1.7,71.1,15.1,0.6,11.1,40.1,76.7,807.2,19.5,6.1,8.2,1.6,12.9,2.9,3.2,39.8,23.4,7.4,4.6,16.7,5.6,1.7,27.6,21,204.1,5.4,46.4,6.6,39.7,4.8,19.6,26507,13726,2001-2003,115257,60422,9975,78.7,46.9,120339,15746,11417,31518,30173,4,3,18,209,3,256,52,256,4682344,6.3,20.3,21.2
1782,34,21,Mercer,New Jersey,NJ,24,366256,1621,8.1,25.9,62.1,10.2,1.8,70,20.6,0.2,7.8,11.6,77.1,797.4,14.5,5.7,8.9,1.8,13.3,3.1,3.7,34.8,20.4,6.5,3.6,12.2,5.1,1.2,29.1,20,174.7,4.9,47.1,9.3,45.6,4.5,17.3,13786,8780,2001-2003,39204,44350,7922,116.6,57.6,43522,7419,6669,18877,19151,12,3,21,188,4,140,258,75,3172275,6.8,17,19.7
1783,34,23,Middlesex,New Jersey,NJ,32,789516,2549,7.4,25.5,62.6,10.2,1.7,69.5,10.4,0.3,18.3,15.9,78.3,740.4,12.5,5.4,7.6,1.4,11.4,1.6,3.3,22.6,16.1,4.8,4,11.3,3.7,1.1,28.2,20,179,2.3,46.1,7.6,36.6,6.1,15.1,31989,16653,2001-2003,93273,86470,11451,132.7,57.6,81603,17241,11772,40772,39877,20,3,23,271,3,300,85,92,1710586,7.1,17.1,19.1
1784,34,25,Monmouth,New Jersey,NJ,32,635952,1348,6.5,26.6,60.9,10.7,1.8,85.8,8.1,0.2,4.9,7.5,77.6,832.2,10.7,5.5,7.5,1.2,11.6,1.6,4.5,21.7,12,2.9,2.1,8.7,1.8,1.1,31,24.3,184.7,1.7,58.1,8.2,45.9,7.5,17.2,24309,16241,2001-2003,60107,79307,10050,133.3,73.6,50996,12981,9634,32425,31125,9,3,19,204,3,245,29,75,18314,5.5,20.3,17.1
1786,34,29,Ocean,New Jersey,NJ,36,558341,878,8.1,24.2,54.9,16.9,4.1,94,3.4,0.2,1.6,6.2,77.8,797.5,17.3,6.7,6.8,1.1,10.8,1.4,3.1,20.2,16.4,3.6,3.4,5.2,2.8,0.8,27.3,22.7,199.5,1.8,60.4,10.9,37.2,7.2,16.8,21448,21057,2001-2003,57317,111640,10963,52.5,42.8,65757,11239,12263,29304,26603,18,3,16,153,3,193,96,97,20515,8,21.5,22.8
1787,34,31,Passaic,New Jersey,NJ,25,499060,2693,12.6,28.5,59.8,9.9,1.8,78.1,15.3,0.7,4.6,33.3,77.1,818.4,20.5,6.1,8.5,1.7,12.9,3.3,2.9,40,27.1,6,3.8,11.1,3.6,2.4,28.8,20.7,187.8,4.7,44.7,7.1,46.6,6.6,21.2,23317,12091,2001-2003,81227,55692,9198,82,53.7,84489,12852,7798,24770,24858,8,3,15,254,4,209,64,89,730534,6.9,19.1,21
1788,34,33,Salem,New Jersey,NJ,20,66346,196,9.3,25.3,60.7,11.8,2.1,82.7,15.1,0.4,0.8,4.7,75.3,963.9,18.3,6.2,7.8,1.4,11.7,3.9,2.2,42.8,28,7.2,5.4,8.8,4.9,2.3,29.7,27.3,224.9,3.2,70.2,22,59.9,8.8,21.1,3888,3541,1999-2003,7266,9124,1566,40.7,31.7,9134,1520,1197,3439,3356,1,3,6,51,3,52,19,10,5450858,7.1,24,26.8
